# libSceFont
+B-xlbiWDJ4 sceFontStringGetTerminateOrder
pJzji5FvdxU sceFontGraphicsFillRatesSetFillEffect
qkySrQ4FGe0 sceFontGraphicsRenderResource
qzNjJYKVli0 sceFontGraphicsSetFramePolicy
r4KEihtwxGs sceFontGlyphRenderImageHorizontal
rNlxdAXX08o sceFontGraphicsDefineIndexedVertexesGlyph
ryPlnDDI3rU sceFontGetRenderScaledKerning
sDuhHGNhHvE sceFontGetKerning
sZqK7D-U8W8 sceFontGraphicsProcessRenderSequence
scaro-xEuUM sceFontGraphicsFillRatesSetLayout
sw65+7wXCKE sceFontSetScalePoint
tiIlroGki+g sceFontGetFontResolution
u5fZd3KZcs0 sceFontCreateRenderer
v0phZwa4R5o sceFontSetEffectWeight
vRxf4d0ulPs sceFontRenderSurfaceSetScissor
vzHs3C8lWJk sceFontCloseFont
wQ9IitfPED0 sceFontOutlineVertexesInterfaceInit
wcOQ8Fz73+M sceFontGraphicsRegionInitRoundish
whrS4oksXc4 sceFontMemoryInit
woOjHrkjIYg sceFontGetRenderEffectWeight
wyKFUOWdu3Q sceFontWritingLineWritesOrder
xAIJ9uRYGrw sceFontGraphicsSurfaceSetTargetView
yStTYSeb4NM sceFontGraphicsUpdateRotation
ydF+WuH0fAk sceFontRendererSetOutlineBufferPolicy
ynSqYL8VpoA sceFontGetEffectSlant
zC6I4ty37NA sceFontGraphicsSetupGlyphFillPlot
zN3+nuA0SFQ sceFontCharacterGetTextFontCode
zZQD3EwJo3c sceFontDestroyGraphicsService
zdYdKRQC3rw sceFontGraphicsExchangeResource
1 stub library, 235 symbols
