# libSceAgc
+kSrjIVxKFE sceAgcDcbPushMarker
Ikfdt-rIqCE sceAgcJumpPatchSetTarget
IxYiarKlXxM sceAgcDmaDataPatchSetDstAddressOrOffset
J8YCgfKAMQs sceAgcQueueEndOfPipeActionPatchGcrCntl
JOWmDrl+j20 sceAgcCbSetUcRegisterRangeDirectGetSize
JrtiDtKeS38 sceAgcAcbResetQueue
K2mciNVxUCE sceAgcSetNop
KT-hTp-Ch14 sceAgcAcbAcquireMem
KjPeVduz6jU sceAgcDcbPrimeUtcl2GetSize
LFSPFmGc9Hg sceAgcDcbSetWorkloadsActive
LHFXRrlTPD8 sceAgcDcbSetCxRegisterDirect
Lkf86B98qPc sceAgcGetPacketSize
LtTouSCZjHM sceAgcCbNop
M0ttm8h7SKA sceAgcAcbDmaDataGetSize
MDLD5Ly94Xk sceAgcCbSetUcRegisterRangeDirect
MGEQMJBhdtc sceAgcGetRegisterDefaultsInternal
MMlmJAL7N5w sceAgcDcbSetBaseDrawIndirectArgsGetSize
MWiElSNE8j8 sceAgcDcbWaitUntilSafeForRendering
MlEw1feXcjg sceAgcQueueEndOfPipeActionPatchData
MqAdbRMdNz4 sceAgcLinkShaders
N7M3+N-sBCw sceAgcDcbPushMarkerSpan
NKIzURsgV7I sceAgcGetGsOversubscription
NbiQSQ-UL+M sceAgcGetStaticQword
OQTgEXyihvA sceAgcSetAmmSemaphoreMemory
ORWsxIbk4TE sceAgcCondExecPatchSetEnd
OXDc0KCnUhs sceAgcGetStaticBuffer
P1CugZ99Uzc sceAgcDcbEndOcclusionQueryGetSize
PxEFhy0d5v8 sceAgcDcbClearState
PxKWV2fVAps sceAgcAcbDispatchIndirectGetSize
QIXCsbipds0 sceAgcDcbRewindGetSize
QhCbS4X9Rl8 sceAgcDcbSetMarker
QhPDD513V0w sceAgcDcbSetShRegisterDirectGetSize
Qrj4c+61z4A sceAgcSetShRegIndirectPatchSetAddress
RTpj-tIlvZc sceAgcSetShaderInstrumentation
Rlx+bykm0r0 sceAgcDcbDrawIndexMultiInstanced
RmaJwLtc8rY sceAgcDcbSetBaseIndirectArgs
SwI6QxqwAC0 sceAgcGetShaderInstrumentation
T6xuVw0KUJo sceAgcDebugRaiseException
T9fjQIINoeE sceAgcQueueEndOfPipeActionPatchType
TGEZzUWLbrc sceAgcCbSetUcRegistersDirectGetSize
TRO721eVt4g sceAgcDcbResetQueue
